OrderID,OrderDate,CustomerID,Country,Channel,MarketingChannel,OrderStatus,ProductID,ProductName,Category,Quantity,UnitPrice,UnitCost,Discount,SalesAmount,CostAmount,MarketingSpend,ShippingTimeDays,ShippingCost,ProfitAmount,ReturnFlag,CustomerSegment
ORD101025,2023-02-15 18:53:54,CUST1445,Germany,Mobile,PPC,Completed,P1000,T-Shirt,Apparel,1,49.93,36.81,0.0,49.93,36.81,3.27,4,4.54,5.31,0,Returning
ORD101025,2023-02-15 18:53:54,CUST1445,Germany,Mobile,PPC,Completed,P1011,Bluetooth Speaker,Electronics,1,110.69,60.91,0.1,99.62,60.91,0.53,4,4.52,33.66,0,Returning
ORD100185,2023-02-15 22:07:01,CUST1869,United States,Web,Social,Completed,P1019,Fitness Band,Electronics,1,91.75,61.51,0.0,91.75,61.51,1.12,2,3.78,25.34,0,New
ORD100185,2023-02-15 22:07:01,CUST1869,United States,Web,Social,Completed,P1038,Body Lotion,Beauty,2,13.44,8.05,0.0,26.88,16.1,2.77,1,3.02,4.99,0,New
ORD100185,2023-02-15 22:07:01,CUST1869,United States,Web,Social,Completed,P1016,Keyboard,Electronics,2,99.74,62.9,0.0,199.48,125.8,3.31,1,2.6,67.77,0,New
ORD100214,2023-02-17 15:23:24,CUST1942,Nigeria,App,Social,Returned,P1037,Face Mask,Beauty,1,0.81,0.57,0.0,0.81,0.57,2.52,1,2.59,-4.87,1,Loyal
ORD100930,2023-02-18 17:23:34,CUST1235,Canada,App,Organic,Completed,P1004,Cap,Apparel,1,35.32,23.74,0.0,35.32,23.74,0.86,1,2.5,8.22,0,Returning
ORD101092,2023-02-20 01:53:54,CUST1822,United States,Web,Email,Completed,P1008,Skirt,Apparel,1,30.61,17.28,0.0,30.61,17.28,5.8,4,4.72,2.81,0,New
ORD101092,2023-02-20 01:53:54,CUST1822,United States,Web,Email,Completed,P1008,Skirt,Apparel,1,30.61,21.37,0.1,27.55,21.37,1.94,3,3.26,0.98,0,New
ORD101086,2023-02-22 00:30:11,CUST1033,Nigeria,App,Organic,Completed,P1017,Mouse,Electronics,2,126.28,72.62,0.1,227.3,145.24,0.57,1,2.34,79.15,0,Returning
ORD101086,2023-02-22 00:30:11,CUST1033,Nigeria,App,Organic,Completed,P1010,Wireless Headphones,Electronics,1,110.73,84.43,0.2,88.58,84.43,0.33,3,3.01,0.81,0,Returning
ORD100730,2023-02-22 08:05:59,CUST1147,Germany,Mobile,PPC,Completed,P1024,Throw Pillow,Home,1,29.11,19.17,0.1,26.2,19.17,0.64,4,4.22,2.17,0,Returning
ORD100576,2023-02-23 10:27:54,CUST1416,United States,Mobile,Email,Completed,P1001,Hoodie,Apparel,1,37.23,28.27,0.0,37.23,28.27,1.35,14,9.7,-2.09,0,Returning
ORD100982,2023-02-24 10:54:05,CUST1320,India,Web,PPC,Completed,P1017,Mouse,Electronics,2,126.28,64.57,0.0,252.56,129.14,1.82,3,5.07,116.53,0,Returning
ORD100982,2023-02-24 10:54:05,CUST1320,India,Web,PPC,Completed,P1031,Sunscreen,Beauty,1,77.05,59.07,0.0,77.05,59.07,2.68,4,4.42,10.88,0,Returning
ORD100982,2023-02-24 10:54:05,CUST1320,India,Web,PPC,Completed,P1032,Lipstick,Beauty,1,39.73,18.8,0.05,37.74,18.8,3.74,2,3.17,12.03,0,Returning
ORD100982,2023-02-24 10:54:05,CUST1320,India,Web,PPC,Completed,P1017,Mouse,Electronics,2,126.28,63.89,0.0,252.56,127.78,5.28,10,6.47,113.03,0,Returning
ORD101021,2023-02-24 11:13:41,CUST1195,Spain,Mobile,Organic,Completed,P1032,Lipstick,Beauty,1,39.73,22.01,0.05,37.74,22.01,0.03,1,2.41,13.29,0,New
ORD101073,2023-02-24 11:29:58,CUST1395,India,Mobile,Organic,Completed,P1039,Hand Cream,Beauty,1,43.94,28.26,0.0,43.94,28.26,0.04,2,4.37,11.27,0,New
ORD100853,2023-02-24 12:45:18,CUST1182,United States,Web,Email,Completed,P1022,Vacuum,Home,3,41.35,21.49,0.0,124.05,64.47,5.88,3,3.6,50.1,0,New
ORD100853,2023-02-24 12:45:18,CUST1182,United States,Web,Email,Completed,P1025,Curtain,Home,1,42.22,25.49,0.0,42.22,25.49,0.55,7,6.34,9.84,0,New
ORD100275,2023-02-25 00:41:59,CUST1160,France,Web,Email,Completed,P1035,Conditioner,Beauty,2,15.58,8.76,0.0,31.16,17.52,1.99,1,2.55,9.1,0,Returning
ORD100288,2023-02-25 00:47:16,CUST1207,Germany,Mobile,Social,Returned,P1033,Perfume,Beauty,2,18.85,13.13,0.0,37.7,26.26,3.89,2,3.96,3.59,1,New
ORD100288,2023-02-25 00:47:16,CUST1207,Germany,Mobile,Social,Returned,P1032,Lipstick,Beauty,2,39.73,25.48,0.0,79.46,50.96,3.62,7,8.99,15.89,1,New
ORD100716,2023-02-25 02:57:57,CUST1438,United States,Mobile,Organic,Completed,P1008,Skirt,Apparel,1,30.61,18.87,0.0,30.61,18.87,0.69,1,2.44,8.61,0,Returning
ORD100260,2023-02-25 04:08:12,CUST1350,United Kingdom,Web,Social,Completed,P1031,Sunscreen,Beauty,3,77.05,53.97,0.05,219.59,161.91,4.67,3,4.22,48.79,0,New
ORD100211,2023-02-26 09:42:47,CUST1673,Australia,Web,PPC,Completed,P1012,Smart Watch,Electronics,1,124.84,97.82,0.0,124.84,97.82,3.14,5,7.02,16.86,0,Returning
ORD100211,2023-02-26 09:42:47,CUST1673,Australia,Web,PPC,Completed,P1004,Cap,Apparel,1,35.32,24.8,0.1,31.79,24.8,1.0,2,2.83,3.16,0,Returning
ORD100153,2023-02-26 14:08:32,CUST1425,United Kingdom,Web,Email,Completed,P1030,Moisturizer,Beauty,1,27.97,18.25,0.0,27.97,18.25,0.27,3,3.83,5.62,0,Returning
ORD100153,2023-02-26 14:08:32,CUST1425,United Kingdom,Web,Email,Completed,P1010,Wireless Headphones,Electronics,1,110.73,65.17,0.15,94.12,65.17,4.9,10,11.71,12.34,0,Returning
ORD100069,2023-02-27 09:22:23,CUST1441,Nigeria,Web,PPC,Completed,P1035,Conditioner,Beauty,2,15.58,7.44,0.0,31.16,14.88,5.23,7,8.0,3.05,0,Returning
ORD100069,2023-02-27 09:22:23,CUST1441,Nigeria,Web,PPC,Completed,P1039,Hand Cream,Beauty,3,43.94,23.48,0.1,118.64,70.44,5.48,7,5.0,37.72,0,Returning
ORD100365,2023-02-27 10:22:56,CUST1836,United Kingdom,App,Organic,Completed,P1010,Wireless Headphones,Electronics,1,110.73,82.75,0.05,105.19,82.75,0.93,5,6.35,15.16,0,Returning
ORD100365,2023-02-27 10:22:56,CUST1836,United Kingdom,App,Organic,Completed,P1036,Serum,Beauty,1,44.18,29.66,0.1,39.76,29.66,0.05,4,5.09,4.96,0,Returning
ORD100251,2023-03-01 07:02:29,CUST1051,India,Mobile,Organic,Completed,P1034,Shampoo,Beauty,1,56.45,32.76,0.0,56.45,32.76,0.59,1,2.46,20.64,0,New
ORD100251,2023-03-01 07:02:29,CUST1051,India,Mobile,Organic,Completed,P1022,Vacuum,Home,1,41.35,27.8,0.0,41.35,27.8,0.12,1,2.33,11.1,0,New
ORD100335,2023-03-03 06:52:16,CUST1487,India,Web,PPC,Completed,P1008,Skirt,Apparel,1,30.61,19.75,0.0,30.61,19.75,4.86,10,8.1,-2.1,0,Returning
ORD100491,2023-03-04 00:37:02,CUST1131,India,Web,PPC,Returned,P1039,Hand Cream,Beauty,2,43.94,25.02,0.0,87.88,50.04,0.58,5,5.05,32.21,1,Returning
ORD100150,2023-03-05 21:07:29,CUST1314,Nigeria,Mobile,Social,Completed,P1011,Bluetooth Speaker,Electronics,3,110.69,68.34,0.15,282.26,205.02,2.73,2,4.38,70.13,0,New
ORD100150,2023-03-05 21:07:29,CUST1314,Nigeria,Mobile,Social,Completed,P1021,Air Fryer,Home,2,35.48,20.53,0.05,67.41,41.06,1.33,1,3.16,21.86,0,New
ORD100150,2023-03-05 21:07:29,CUST1314,Nigeria,Mobile,Social,Completed,P1009,Blouse,Apparel,1,50.85,35.17,0.0,50.85,35.17,3.83,3,5.44,6.41,0,New
ORD100440,2023-03-06 03:17:09,CUST1775,United Kingdom,Mobile,PPC,Returned,P1035,Conditioner,Beauty,1,15.58,7.23,0.0,15.58,7.23,0.6,5,7.31,0.44,1,Loyal
ORD100578,2023-03-06 20:40:06,CUST1028,France,Mobile,PPC,Completed,P1027,Rug,Home,2,47.51,27.05,0.0,95.02,54.1,0.33,7,6.2,34.39,0,Returning
ORD100578,2023-03-06 20:40:06,CUST1028,France,Mobile,PPC,Completed,P1000,T-Shirt,Apparel,1,49.93,26.84,0.0,49.93,26.84,0.65,4,4.06,18.38,0,Returning
ORD100154,2023-03-07 17:03:59,CUST1915,Nigeria,App,Organic,Completed,P1018,Smart Light,Electronics,1,101.84,73.13,0.15,86.56,73.13,0.98,1,2.88,9.57,0,Returning
ORD100650,2023-03-07 22:58:55,CUST1814,France,Web,PPC,Completed,P1037,Face Mask,Beauty,1,0.81,0.59,0.0,0.81,0.59,3.18,5,3.79,-6.75,0,Returning
ORD100124,2023-03-09 09:25:45,CUST1736,France,Web,Email,Completed,P1003,Sneakers,Apparel,1,70.46,39.53,0.1,63.41,39.53,0.44,2,3.44,20.0,0,New
ORD101083,2023-03-09 10:59:56,CUST1058,United Kingdom,Mobile,Organic,Completed,P1016,Keyboard,Electronics,1,99.74,77.61,0.0,99.74,77.61,0.12,4,4.05,17.96,0,Returning
ORD100913,2023-03-12 10:55:20,CUST1950,United States,Web,Organic,Completed,P1005,Jacket,Apparel,1,35.32,27.47,0.05,33.55,27.47,0.22,1,2.62,3.24,0,New
ORD100603,2023-03-12 12:57:55,CUST1211,Nigeria,Web,Email,Completed,P1039,Hand Cream,Beauty,2,43.94,29.06,0.0,87.88,58.12,5.63,7,7.8,16.33,0,Returning
ORD100603,2023-03-12 12:57:55,CUST1211,Nigeria,Web,Email,Completed,P1003,Sneakers,Apparel,3,70.46,44.1,0.0,211.38,132.3,4.11,14,9.67,65.3,0,Returning
ORD100973,2023-03-13 07:38:33,CUST1294,Germany,Web,Affiliate,Completed,P1013,Phone Case,Electronics,1,81.73,48.5,0.0,81.73,48.5,3.21,4,5.43,24.59,0,New
ORD101045,2023-03-16 18:10:15,CUST1641,Australia,Mobile,Organic,Completed,P1026,Desk Lamp,Home,1,16.98,8.0,0.0,16.98,8.0,0.43,1,3.08,5.47,0,Returning
ORD100965,2023-03-16 22:13:31,CUST1211,Germany,Mobile,Organic,Returned,P1033,Perfume,Beauty,2,18.85,9.25,0.0,37.7,18.5,0.29,3,5.34,13.57,1,Returning
ORD100181,2023-03-17 14:38:30,CUST1596,United Kingdom,Web,Social,Completed,P1028,Cutlery Set,Home,2,27.99,17.86,0.0,55.98,35.72,3.83,1,2.38,14.05,0,Returning
ORD100181,2023-03-17 14:38:30,CUST1596,United Kingdom,Web,Social,Completed,P1035,Conditioner,Beauty,1,15.58,11.32,0.0,15.58,11.32,2.16,7,9.74,-7.64,0,Returning
ORD100698,2023-03-17 15:53:38,CUST1891,Nigeria,Web,Organic,Completed,P1019,Fitness Band,Electronics,1,91.75,67.98,0.0,91.75,67.98,0.42,1,2.99,20.36,0,Loyal
ORD101154,2023-03-20 02:58:48,CUST1626,Brazil,Web,Affiliate,Completed,P1010,Wireless Headphones,Electronics,1,110.73,77.74,0.05,105.19,77.74,3.15,2,2.62,21.68,0,New
ORD101154,2023-03-20 02:58:48,CUST1626,Brazil,Web,Affiliate,Completed,P1026,Desk Lamp,Home,3,16.98,13.35,0.0,50.94,40.05,5.15,1,3.0,2.74,0,New
ORD101154,2023-03-20 02:58:48,CUST1626,Brazil,Web,Affiliate,Completed,P1029,Storage Box,Home,2,34.17,25.07,0.0,68.34,50.14,3.52,10,8.01,6.67,0,New
ORD101154,2023-03-20 02:58:48,CUST1626,Brazil,Web,Affiliate,Completed,P1009,Blouse,Apparel,2,50.85,39.11,0.15,86.44,78.22,1.25,5,3.62,3.35,0,New
ORD100457,2023-03-20 03:10:17,CUST1114,Canada,Web,Social,Completed,P1038,Body Lotion,Beauty,1,13.44,7.43,0.05,12.77,7.43,5.82,1,2.79,-3.27,0,Returning
ORD100172,2023-03-22 16:47:22,CUST1054,Nigeria,Web,Organic,Completed,P1027,Rug,Home,1,47.51,31.92,0.0,47.51,31.92,0.78,2,3.41,11.4,0,New
